Currency,Exchange Rate
USD,1
AED,3.6725
AFN,88.4228
ALL,114.1447
AMD,394.8991
ANG,1.79
AOA,509.3234
ARS,162.8041
AUD,1.5056
AWG,1.79
AZN,1.6966
BAM,1.9021
BBD,2.0
BDT,101.5237
BGN,1.9023
BHD,0.376
BIF,2040.7763
BMD,1.0
BND,1.3787
BOB,6.8881
BRL,5.3253
BSD,1.0
BTN,81.5744
BWP,13.0477
BYN,2.4833
BZD,2.0
CAD,1.3385
CDF,2095.2536
CHF,0.9525
CLP,941.5777
CNY,7.1354
COP,4933.8028
CRC,611.6549
CUP,24.0
CVE,107.2367
CZK,23.7022
DJF,177.721
DKK,7.2555
DOP,54.4388
DZD,138.9408
EGP,24.5115
ERN,15.0
ETB,53.1729
EUR,0.9725
FJD,2.2277
FKP,0.8424
FOK,7.2555
GBP,0.8424
GEL,2.7172
GGP,0.8424
GHS,15.0962
GIP,0.8424
GMD,63.4161
GNF,8616.838
GTQ,7.7769
GYD,209.4065
HKD,7.8157
HNL,24.5977
HRK,7.3276
HTG,138.4379
HUF,395.6747
IDR,15659.0191
ILS,3.4752
IMP,0.8424
INR,81.5762
IQD,1460.7645
IRR,42001.4564
ISK,142.2434
JEP,0.8424
JMD,154.0409
JOD,0.709
JPY,141.2
KES,122.6034
KGS,84.3729
KHR,4146.2104
KID,1.5057
KMF,478.4565
KRW,1352.727
KWD,0.2996
KYD,0.8333
KZT,463.3773
LAK,17205.1105
LBP,1507.5
LKR,361.2084
LRD,153.657
LSL,17.2636
LYD,4.9041
MAD,10.7548
MDL,19.2134
MGA,4307.5063
MKD,60.1989
MMK,2673.6322
MNT,3410.2894
MOP,8.0501
MRU,37.9112
MUR,43.4468
MVR,15.4024
MWK,1036.2283
MXN,19.4733
MYR,4.5665
MZN,64.5136
NAD,17.2636
NGN,442.6606
NIO,35.8343
NOK,10.1435
NPR,130.519
NZD,1.6268
OMR,0.3845
PAB,1.0
PEN,3.8454
PGK,3.5128
PHP,57.2637
PKR,223.781
PLN,4.5716
PYG,7152.8694
QAR,3.64
RON,4.793
RSD,114.1313
RUB,60.4999
RWF,1052.4996
SAR,3.75
SBD,8.3394
SCR,13.3502
SDG,565.1273
SEK,10.6553
SGD,1.3787
SHP,0.8424
SLE,18.5202
SLL,18520.1933
SOS,569.0262
SRD,30.7577
SSP,629.9591
STN,23.8271
SYP,2506.9309
SZL,17.2636
THB,36.0716
TJS,10.1282
TMT,3.5
TND,2.9074
TOP,2.3741
TRY,18.6121
TTD,6.7659
TVD,1.5057
TWD,31.0425
TZS,2331.6086
UAH,36.7408
UGX,3746.6897
UYU,39.9194
UZS,11236.7666
VES,9.9887
VND,24793.7756
VUV,121.2022
WST,2.7436
XAF,637.9421
XCD,2.7
XDR,0.7659
XOF,637.9421
XPF,116.0547
YER,249.7054
ZAR,17.2649
ZMW,16.7456
ZWL,643.4396
